task_id,candidate_id,final_pass,candidate_file_available,compile_pass,correctness_pass,synth_pass,timing_status,reference_area,generated_area,area_unit,reference_activity,generated_activity,activity_metric,area_score,activity_score,score,score_status,failure_category,toolchain_id,workload_id,notes
ap_001_idle_counter,reference_copy,True,True,True,True,True,not_required,15.0,15.0,generic_cells,34.0,34.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_001_idle_counter_default,candidate validated
ap_002_command_decoder,reference_copy,True,True,True,True,True,not_required,15.0,15.0,generic_cells,20.0,20.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_002_command_decoder_default,candidate validated
ap_003_register_bank_unnecessary_writes,reference_copy,True,True,True,True,True,not_required,15.0,15.0,generic_cells,23.0,23.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_003_register_bank_unnecessary_writes_default,candidate validated
ap_004_crc_serial_parallel_tradeoff,reference_copy,True,True,True,True,True,not_required,6.0,6.0,generic_cells,27.0,27.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_004_crc_serial_parallel_tradeoff_default,candidate validated
ap_005_fsm_controller_idle_activity,reference_copy,True,True,True,True,True,not_required,9.0,9.0,generic_cells,29.0,29.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_005_fsm_controller_idle_activity_default,candidate validated
ap_006_wakeup_edge_filter,reference_copy,True,True,True,True,True,not_required,6.0,6.0,generic_cells,14.0,14.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_006_wakeup_edge_filter_default,candidate validated
ap_007_command_frame_checker,reference_copy,True,True,True,True,True,not_required,11.0,11.0,generic_cells,28.0,28.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_007_command_frame_checker_default,candidate validated
ap_008_byte_lane_write_gate,reference_copy,True,True,True,True,True,not_required,4.0,4.0,generic_cells,28.0,28.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_008_byte_lane_write_gate_default,candidate validated
ap_009_serial_parity_accumulator,reference_copy,True,True,True,True,True,not_required,9.0,9.0,generic_cells,28.0,28.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_009_serial_parity_accumulator_default,candidate validated
ap_010_retry_timeout_fsm,reference_copy,True,True,True,True,True,not_required,31.0,31.0,generic_cells,34.0,34.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_010_retry_timeout_fsm_default,candidate validated
